,page,doctorate,len_page,female,male,category,count,nobel_field
15376,Heinrich Hetsch,0,261,False,True,Microbiologists,1,Physiology or Medicine
15377,Coleman Dupont Donaldson,1,931,True,False,20th-century_physicists,1,Physics
15378,Peter Hirsch (microbiologist),0,115,False,True,Microbiologists,1,Physiology or Medicine
15379,James Israel,0,1227,False,True,Microbiologists,1,Physiology or Medicine
15380,Herbert Grove Dorsey,0,6341,False,True,20th-century_physicists,1,Physics
15381,George Doundoulakis,1,821,False,True,20th-century_physicists,1,Physics
15382,Otto Kandler,0,8221,False,True,Microbiologists,1,Physiology or Medicine
15383,Rodger Doxsey,0,9306,True,False,20th-century_physicists,1,Physics
15384,Stefan H. E. Kaufmann,1,2430,False,True,Microbiologists,1,Physiology or Medicine
15385,Alexander Kekulé,0,2257,False,True,Microbiologists,1,Physiology or Medicine
15386,Lee Alvin DuBridge,0,1934,False,True,20th-century_physicists,1,Physics
15387,Hans Knöll,0,2303,False,True,Microbiologists,1,Physiology or Medicine
15388,Richard Duffin,1,1072,False,True,20th-century_physicists,1,Physics
15389,Theodore Dunham Jr.,1,3682,False,True,20th-century_physicists,1,Physics
15390,Robert Koch,0,5797,False,True,Microbiologists,1,Physiology or Medicine
15391,John R. Dunning,0,655,False,True,20th-century_physicists,1,Physics
15392,Werner Kollath,0,2597,False,True,Microbiologists,1,Physiology or Medicine
15393,Seibert Q. Duntley,1,1696,False,True,20th-century_physicists,1,Physics
15394,Walther Kruse,0,772,False,True,Microbiologists,1,Physiology or Medicine
15395,Robert Kudicke,0,691,False,True,Microbiologists,1,Physiology or Medicine
15396,Bernard Eastlund,1,3570,False,True,20th-century_physicists,1,Physics
15397,Christine Lang,0,1119,True,False,Microbiologists,1,Physiology or Medicine
15398,Carl Eckart,1,989,False,True,20th-century_physicists,1,Physics
15399,Ernst R. G. Eckert,0,1707,True,False,20th-century_physicists,1,Physics
15400,Karl Bernhard Lehmann,0,1024,False,True,Microbiologists,1,Physiology or Medicine
15401,Paul Lindner,0,1289,False,True,Microbiologists,1,Physiology or Medicine
15402,Bernhard Caesar Einstein,1,2023,True,False,20th-century_physicists,1,Physics
15403,Friedrich Loeffler,0,1344,False,True,Microbiologists,1,Physiology or Medicine
15404,Laura Eisenstein,0,717,False,True,20th-century_physicists,1,Physics
15405,Walter Migula,0,802,False,True,Microbiologists,1,Physiology or Medicine
15406,Charles Elbaum,0,2121,False,True,20th-century_physicists,1,Physics
15407,Friedrich Neelsen,0,276,False,True,Microbiologists,1,Physiology or Medicine
15408,Jerry C. Elliott,1,1498,False,True,20th-century_physicists,1,Physics
15409,Albert Ludwig Sigesmund Neisser,0,1442,False,True,Microbiologists,1,Physiology or Medicine
15410,William Cronk Elmore,0,1041,False,True,20th-century_physicists,1,Physics
15411,Andreas Peschel,0,1500,False,True,Microbiologists,1,Physiology or Medicine
15412,Arpad Elo,1,1077,True,False,20th-century_physicists,1,Physics
15413,Julius Richard Petri,0,1370,False,True,Microbiologists,1,Physiology or Medicine
15415,Walter M. Elsasser,0,1124,False,True,20th-century_physicists,1,Physics
15416,Otto Prausnitz,0,911,False,True,Microbiologists,1,Physiology or Medicine
15417,Howard Wilson Emmons,1,1220,False,True,20th-century_physicists,1,Physics
15418,Paul Sophus Epstein,1,820,False,True,20th-century_physicists,1,Physics
15419,Carl Franz Robinow,0,610,False,True,Microbiologists,1,Physiology or Medicine
15420,Harold P. Eubank,1,2990,False,True,20th-century_physicists,1,Physics
15421,Friedrich Julius Rosenbach,0,1009,False,True,Microbiologists,1,Physiology or Medicine
15422,Robley D. Evans (physicist),1,5664,False,True,20th-century_physicists,1,Physics
15423,Helmut Ruska,0,288,False,True,Microbiologists,1,Physiology or Medicine
15424,Hugh Everett III,0,4386,False,True,20th-century_physicists,1,Physics
15425,Hans Schlossberger,0,1422,False,True,Microbiologists,1,Physiology or Medicine
15426,Paul Peter Ewald,0,1439,False,True,20th-century_physicists,1,Physics
15427,Bernhard Schmidt (microbiologist),0,770,False,True,Microbiologists,1,Physiology or Medicine
